epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2256.44,1.83461,2.77577,1.59667,0.23691,0.21308,0.15612,0.06742,2.2486,3.54172,1.78726,0.000665098,0.000665098,0.000665098
2,4449.64,1.87618,1.96297,1.61063,0.32169,0.28075,0.23952,0.11103,2.21536,2.26466,1.68679,0.00119992,0.00119992,0.00119992
3,6585.98,1.84457,1.78649,1.59775,0.32478,0.2871,0.22778,0.09412,2.2167,2.30613,1.70861,0.00160274,0.00160274,0.00160274
4,8693.83,1.74182,1.65519,1.52981,0.38279,0.29944,0.28788,0.14424,2.00237,2.03161,1.53001,0.001406,0.001406,0.001406
5,10806.5,1.68064,1.52531,1.48211,0.40849,0.32636,0.31372,0.16582,1.94316,1.87706,1.46114,0.001208,0.001208,0.001208
6,12922.7,1.62068,1.43176,1.43449,0.46372,0.34692,0.35053,0.19089,1.83688,1.71551,1.3998,0.00101,0.00101,0.00101
7,15036.1,1.54227,1.32003,1.38299,0.52619,0.36897,0.39118,0.20175,1.86567,1.63718,1.41303,0.000812,0.000812,0.000812
8,17149.1,1.49711,1.25273,1.35152,0.48596,0.36636,0.38219,0.2153,1.73751,1.60509,1.3338,0.000614,0.000614,0.000614
9,19266.2,1.45747,1.19466,1.32412,0.54427,0.38396,0.41931,0.23063,1.73446,1.53555,1.32137,0.000416,0.000416,0.000416
10,21380,1.40039,1.12372,1.28907,0.52218,0.40561,0.41454,0.2333,1.72877,1.53597,1.31551,0.000218,0.000218,0.000218
